         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       67    0.001    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:1089(reversed)
     4420    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
      402    0.001    0.000    0.003    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1543(_options)
 1729/184    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
       73    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      406    0.001    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\functools.py:35(update_wrapper)
     6097    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      489    0.001    0.000    0.003    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:383(__setitem__)
     6552    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:1116(__new__)
 1024/341    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:178(getwidth)
     5791    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      219    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      306    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        3    0.001    0.000    0.001    0.000 {built-in method nt._path_isdir}
     6520    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     4767    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5375    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       22    0.001    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:355(namedtuple)
     6316    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
       24    0.001    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\util.py:186(_collapse_string_to_ranges)
      768    0.001    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:747(unwrap)
     4789    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:240(__next)
 3538/834    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_api\__init__.py:353(recursive_subclasses)
2113/1943    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      973    0.001    0.000    0.015    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:724(__setitem__)
