         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method nt.access}
        6    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\connection_cext.py:689(cursor)
        5    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\managers.py:1772(_consolidate_check)
        1    0.000    0.000    0.005    0.005 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\common.py:1(<module>)
       24    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\dviread.py:220(decorate)
    26/14    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:4242(parseImpl)
       28    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\base.py:82(shape)
       22    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1013(reset_cache)
      139    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1973(__eq__)
       25    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.012    0.012 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\transforms.py:1(<module>)
        2    0.000    0.000    0.032    0.016 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\platform.py:321(_wmi_query)
        1    0.000    0.000    0.002    0.002 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\widgets.py:1(<module>)
      105    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\construction.py:735(_sanitize_str_dtypes)
       84    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\configparser.py:1120(_unify_values)
       44    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\results.py:554(copy)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\path.py:24(Path)
        6    0.000    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\abstracts.py:1209(set_charset_collation)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\nanops.py:1547(check_below_min_count)
       25    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\series.py:1087(_slice)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\cffi\model.py:1(<module>)
        1    0.000    0.000    0.025    0.025 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\textpath.py:1(<module>)
       21    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_docstring.py:43(update)
      232    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:1546(__eq__)
       51    0.000    0.000    0.029    0.001 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:716(__init__)
       41    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\series.py:1471(_set_as_cached)
       33    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\results.py:219(__setitem__)
        1    0.000    0.000    0.001    0.001 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\PIL\TiffTags.py:1(<module>)
      172    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_cm.py:1(<module>)
       20    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:1189(reversed)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\nanops.py:1499(_maybe_null_out)
       25    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:4342(_getitem_slice)
       26    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\frame.py:12675(_reindex_for_setitem)
       22    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:272(_val_or_dict)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\indexes\base.py:4201(_convert_slice_indexer)
        3    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\construction.py:596(_homogenize)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\backend_tools.py:73(ToolBase)
       26    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\frame.py:5242(_sanitize_column)
        4    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\indexes\base.py:649(_simple_new)
      170    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\cm.py:89(__getitem__)
       25    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\nanops.py:111(f)
       26    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandastable\data.py:300(getColumnName)
      133    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\common.py:152(cast_scalar_indexer)
        1    0.000    0.000    0.005    0.005 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1(<module>)
       25    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\warnings.py:131(filterwarnings)
        1    0.000    0.000    0.006    0.006 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\packaging\version.py:1(<module>)
       12    0.000    0.000    0.004    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1135(parse_string)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\text.py:80(Text)
        1    0.000    0.000    0.001    0.001 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\dviread.py:1(<module>)
       77    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:437(__str__)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\axis.py:596(Axis)
       11    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\packaging\version.py:503(_cmpkey)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:5262(__init__)
       18    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\cycler\__init__.py:150(__init__)
       67    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\results.py:210(__getitem__)
      160    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\lib\shape_base.py:608(_column_stack_dispatcher)
       79    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\base.py:86(_validate_set_axis)
       27    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2803(bbox)
        1    0.000    0.000    0.118    0.118 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\style\core.py:1(<module>)
      105    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\construction.py:758(_maybe_repeat)
       41    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:2811(ensure_block_shape)
       21    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:790(copy)
        1    0.000    0.000    0.012    0.012 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\projections\polar.py:1(<module>)
        1    0.000    0.000    0.035    0.035 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\tri\__init__.py:1(<module>)
      103    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\common.py:568(require_length_match)
        1    0.000    0.000    0.022    0.022 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\scale.py:1(<module>)
       52    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:511(_validate_dtype)
   134/34    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1913(__str__)
       49    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1164(__new__)
        1    0.000    0.000    0.001    0.001 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_enums.py:1(<module>)
       51    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1890(set_name)
      222    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\patches.py:2264(<genexpr>)
       51    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:868(__init__)
        6    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\managers.py:2246(_stack_arrays)
       95    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\_config\config.py:617(_select_options)
       22    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:4037(_generateDefaultName)
       31    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\indexes\range.py:201(_simple_new)
        6    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\connection_cext.py:430(get_rows)
        2    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\types.py:66(new_class)
      114    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:709(<genexpr>)
      150    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    1.366    1.366 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\gui_module.py:9(__init__)
        1    0.000    0.000    0.025    0.025 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mpl_toolkits\mplot3d\art3d.py:1(<module>)
      318    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:794(__iter__)
        9    0.000    0.000    0.032    0.004 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\axes\_base.py:729(__init_subclass__)
       23    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       22    0.000    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:4930(parseImpl)
     10/3    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\unicode.py:14(__get__)
       75    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:214(is_extension)
       16    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:4218(__init__)
       48    0.000    0.000    0.017    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1095(__init__)
       13    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:272(contextmanager)
        2    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\indexes\base.py:842(_engine)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\series.py:1220(_get_value)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\mlab.py:1(<module>)
       19    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_api\__init__.py:132(check_shape)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\util.py:1(<module>)
        1    0.000    0.000    0.004    0.004 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\PIL\ImageFile.py:1(<module>)
       22    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\core\fromnumeric.py:2692(max)
      204    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\cffi\api.py:23(FFI)
        1    0.000    0.000    0.004    0.004 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\staff_search_gui.py:39(sepa)
        8    0.000    0.000    0.032    0.004 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\platform.py:889(uname)
        1    0.000    0.000    0.009    0.009 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\cm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_afm.py:1(<module>)
       65    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_api\deprecation.py:99(deprecated)
      344    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:807(<genexpr>)
       54    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:2438(parseImpl)
        1    0.000    0.000    0.017    0.017 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\ticker.py:1(<module>)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\indexes\range.py:1032(_getitem_slice)
        1    0.000    0.000    1.215    1.215 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\rank_gui.py:13(setup_tab)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\PIL\Image.py:483(Image)
       25    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\accessor.py:220(__get__)
       79    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\managers.py:236(set_axis)
      275    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:1227(<genexpr>)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\figure.py:2360(Figure)
       12    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_api\__init__.py:264(get_aliased_and_aliases)
      143    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:3931(<genexpr>)
       33    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:312(_class_escape)
      170    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\textwrap.py:479(predicate)
      348    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:405(flags)
        6    0.000    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\abstracts.py:1308(_post_connection)
      129    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
       34    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:317(_deduplicate)
      331    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:1279(value)
       11    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:1430(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:850(_create_)
        1    0.000    0.000    0.008    0.008 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\new_staff_gui.py:214(kana_area)
        2    0.000    0.000    0.001    0.001 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1441(make_dataclass)
       43    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:551(drive)
        1    0.000    0.000    0.010    0.010 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tokenize.py:406(open)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:2582(array_values)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandastable\plotting.py:95(PlotViewer)
       22    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:124(_splitdict)
        1    0.000    0.000    0.258    0.258 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colorbar.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      130    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\unicode.py:105(<genexpr>)
        1    0.000    0.000    0.081    0.081 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\new_staff_gui.py:27(setup_tab)
      136    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\indexes\base.py:909(__len__)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandastable\util.py:1(<module>)
       12    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1701(_configure)
       12    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:760(_get_field)
       22    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:5173(parseImpl)
      170    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:953(copy)
        1    0.000    0.000    0.310    0.310 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\projections\__init__.py:1(<module>)
       78    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:4038(<genexpr>)
        1    0.000    0.000    0.005    0.005 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\new_staff_gui.py:612(Employment_insurance)
        6    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\cursor_cext.py:649(fetchall)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\backend_bases.py:1671(FigureCanvasBase)
        1    0.000    0.000    0.004    0.004 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\new_staff_gui.py:633(Social_insurance)
      334    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:1274(name)
       30    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\collections.py:27(Collection)
        1    0.000    0.000    0.001    0.001 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\new_staff_gui.py:46(setup_scrollable_frame)
        1    0.000    0.000    0.015    0.015 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\staff_search_gui.py:25(staff_search_tab)
      407    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:1172(__init__)
        1    0.000    0.000    0.002    0.002 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\new_staff_gui.py:226(name_area)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       28    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\rcsetup.py:462(_validate_linestyle)
      105    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_docstring.py:86(copy)
       26    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\apply.py:121(__init__)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\cycler\__init__.py:1(<module>)
        1    0.000    0.000    0.006    0.006 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\exceptions.py:1(<module>)
       15    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:407(_load_parts)
       65    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2135(_signature_is_functionlike)
        1    0.000    0.000    0.084    0.084 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.026    0.026 G:\マイドライブ\staff_manegement_project\staff_manegement_app\data\SQL_center.py:226(__init__)
      109    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\_config\config.py:649(_get_deprecated_option)
       25    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:12397(max)
       16    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1569(__or__)
        1    0.000    0.000    0.012    0.012 G:\マイドライブ\staff_manegement_project\staff_manegement_app\data\SQL_center.py:176(__init__)
        6    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\lines.py:216(Line2D)
        1    0.000    0.000    0.196    0.196 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\axes\__init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 G:\マイドライブ\staff_manegement_project\staff_manegement_app\GUI\gui_module.py:37(main_widgets)
        4    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\lib\function_base.py:2285(__init__)
     23/6    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:4550(streamline)
       33    0.000    0.000    0.006    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
        1    0.000    0.000    0.011    0.011 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\cffi\api.py:1(<module>)
        2    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:527(_get_config_or_cache_dir)
        3    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
      156    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:1982(__hash__)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\markers.py:1(<module>)
       25    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\strings\object_array.py:301(_str_len)
       12    0.000    0.000    0.005    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\opentelemetry\context_propagation.py:71(wrapper)
        1    0.000    0.000    0.090    0.090 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2383(destroy)
        6    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\connection_cext.py:584(fetch_eof_status)
       14    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:1514(__getitem_inner__)
       41    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1253(iget)
        1    0.000    0.000    0.052    0.052 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2325(__init__)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\core\fromnumeric.py:2979(prod)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
    44/34    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:494(__getitem__)
       15    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:533(_maybe_downcast)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        3    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1569(nametowidget)
       25    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\compat\numpy\function.py:413(validate_func)
        6    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\mysql\connector\cursor_cext.py:138(__init__)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1570(<genexpr>)
        1    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandastable\core.py:234(doBindings)
        1    0.000    0.000    0.001    0.001 G:\マイドライブ\staff_manegement_project\staff_manegement_app\data\SQL_center.py:216(get_data)
